name,neighborhood,avg_rating,#_of_ratings,avg_cost,cash_cards?,avg_cost_2
Super Cachorrão Burguer,Loures Centro,3.9,33,12 € for two people (approx.),Cash only,12
Caffeine Garage,Santos,3.4,5,6 € for two people (approx.),Cash only,6
Parque Verde,Campo Grande,3.6,12,20 € for two people (approx.),Cash and Debit Cards accepted,20
Herdade do Freixo do Meio,Cais do Sodré,3.5,8,15 € for two people (approx.),Cash and Cards accepted,15
Retiro do Raposo,Bucelas,3.5,31,37 € for two people (approx.),Cash and Cards accepted,37
Pastelaria Continental,Moscavide,3.3,5,8 € for two people (approx.),Cash only,8
Adega Triunfo,Sé,2.7,8,25 € for two people (approx.),Cash and Cards accepted,25
O Farnel,Alcochete Centro,3.9,96,30 € for two people (approx.),Cash and Credit Cards accepted,30
Pastelaria Estrela do Mar,Mina,-,0,8 € for two people (approx.),Cash only,8
Empório do Chá,Areeiro,4.2,100,12 € for two people (approx.),Cash and Debit Cards accepted,12
Cervejaria do Mar,Cascais Centro,2.8,11,30 € for two people (approx.),Cash and Cards accepted,30
Aqueduto,Marquês de Pombal,-,1,40 € for two people (approx.),Cash and Cards accepted,40
Boteco de Alvalade,Alvalade,3.1,10,6 € for two people (approx.),Cash only,6
O Ramila,Setubal Centro,3.8,85,25 € for two people (approx.),Cash and Cards accepted,25
Stop,Algés,3.3,6,15 € for two people (approx.),Cash only,15
Fibar,Reboleira,3.3,4,8 € for two people (approx.),Cash only,8
Taverna do Pinhal,Fernão Ferro,3.2,6,20 € for two people (approx.),Cash only,20
José Carlos Silva Brito,Arroios,3.2,0,12 € for two people (approx.),Cash only,12
Villa Três,Seixal Centro,3.9,72,10 € for two people (approx.),Cash and Debit Cards accepted,10
O Imperador,Alvalade,3.6,27,20 € for two people (approx.),Cash and Cards accepted,20
Artvideo Café,Queluz,3.6,13,8 € for two people (approx.),Cash and Debit Cards accepted,8
A Delícia da Beloura,Abrunheira,3.4,5,6 € for two people (approx.),Cash only,6
Pérola da Torre,São Domingos de Rana,-,2,20 € for two people (approx.),Cash only,20
Ternuras,Mem Martins,3.5,9,12 € for two people (approx.),Cash and Debit Cards accepted,12
Pon You Kan,Pena,-,0,15 € for two people (approx.),Cash only,15
O Bernardo,Odivelas Centro,3.8,80,30 € for two people (approx.),Cash and Cards accepted,30
Vino Vero,Graça,3.7,9,30 € for two people (approx.),Cash only,30
Dose Certa,Setubal Centro,3.2,4,20 € for two people (approx.) with alcohol,Cash only,20
7a Arte Famões,Famões,2.3,93,32 € for two people (approx.),Cash and Debit Cards accepted,32
Os Arcos,Buraca,-,0,10 € for two people (approx.),Cash only,10
Delicia Caseira “A Preta”,São Sebastião,3.6,25,12 € for two people (approx.),Cash only,12
Flor do Lumiar,Lumiar,3.9,55,6 € for two people (approx.),Cash and Debit Cards accepted,6
Coffeetaria,Barreiro Centro,4.3,231,15 € for two people (approx.),Cash and Debit Cards accepted,15
Tasca 16,Oeiras e São Julião da Barra,3.7,31,30 € for two people (approx.),Cash and Debit Cards accepted,30
Churrasqueira Ana,Buraca,-,3,15 € for two people (approx.),Cash and Debit Cards accepted,15
Pastelaria Londres,Alcochete Centro,3.7,17,10 € for two people (approx.),Cash only,10
Toia,Queluz,3.0,9,8 € for two people (approx.),Cash and Debit Cards accepted,8
Taste of India,Benfica,3.9,136,30 € for two people (approx.),Cash and Cards accepted,30
Madame.Come,Loures Centro,3.5,7,15 € for two people (approx.),Cash and Debit Cards accepted,15
Frutológica Compal,Cais do Sodré,3.8,49,8 € for two people (approx.),Cash only,8
O Abraço,Abrunheira,3.8,25,45 € for two people (approx.),Cash only,45
Café Panorama,Ramada,3.4,8,8 € for two people (approx.),Cash only,8
Izcalli Antojeria,Alcântara,4.5,192,70 € for two people (approx.),Cash only,70
O Meu Sonho,São Brás,3.3,6,15 € for two people (approx.),Cash only,15
Ao 26 Vegan Food Project,Chiado,4.7,"1,359",30 € for two people (approx.),Cash and Cards accepted,30
490 Taberna,Setubal Centro,4.1,183,35 € for two people (approx.),Cash and Cards accepted,35
Buzz Lisboeta,Alcântara,4.2,401,30 € for two people (approx.),Cash and Cards accepted,30
Pastelaria Marianita,Queluz,4.5,340,6 € for two people (approx.),Cash only,6
Confeitaria Nacional,Rossio,4.2,534,10 € for two people (approx.),Cash and Cards accepted,10
Shahida Restaurante,Mouraria,3.6,13,15 € for two people (approx.),Cash only,15
Candela,Baixa,-,0,15 € for two people (approx.),Cash and Cards accepted,15
Royal Family,Saldanha,3.4,8,18 € for two people (approx.),Cash and Cards accepted,18
Cockpit Tapas & Gins,Campo Pequeno,4.3,383,30 € for two people (approx.) with alcohol,Cash and Debit Cards accepted,30
5 Club Bar,Venteira,3.5,11,20 € for two people (approx.) with alcohol,Cash and Cards accepted,20
Conversa Magenta,Almada Centro,-,2,10 € for two people (approx.),Cash and Debit Cards accepted,10
Caravela de Ouro - Snack Bar,Algés,3.5,9,8 € for two people (approx.),Cash and Cards accepted,8
Rústica - Pizza à fatia,Alcântara,3.9,37,15 € for two people (approx.),Cash and Debit Cards accepted,15
Os Barões,Santos,3.8,39,25 € for two people (approx.),Cash and Meal Coupons accepted,25
Café Goa,Cacém,3.3,3,6 € for two people (approx.),Cash only,6
A Carroça,Odivelas Centro,-,2,22 € for two people (approx.),Cash and Debit Cards accepted,22
Moinho do Pão,Colares,3.0,2,8 € for two people (approx.),Cash only,8
Sabores da Ladra,Graça,-,2,12 € for two people (approx.),Cash and Debit Cards accepted,12
Churrasqueira do Cativo,Santa Iria da Azóia,3.5,6,10 € for two people (approx.),Cash only,10
Tasca da Galega,Barreiro Centro,4.0,101,30 € for two people (approx.),Cash and Cards accepted,30
Scorpion,Venda Nova,-,0,10 € for two people (approx.),Cash only,10
Cinderela,Areeiro,3.7,35,12 € for two people (approx.),Cash and Debit Cards accepted,12
Ouriço Terrace,Ericeira,3.6,7,15 € for two people (approx.),Cash and Cards accepted,15
O Mestre,Pinhal Novo,3.7,29,20 € for two people (approx.),Cash and Debit Cards accepted,20
O Escondidinho do Thierry,Barreiro Centro,-,1,8 € for two people (approx.),Cash only,8
Botequim,Graça,4.2,346,20 € for two people (approx.) with alcohol,Debit Cards accepted,20
Tasca TiNicas,Palmela Centro,-,2,25 € for two people (approx.),Cash only,25
Terrace Grill,Cascais Centro,3.7,30,25 € for two people (approx.),Cash and Cards accepted,25
O Forno de Queijas,Queijas,3.0,10,6 € for two people (approx.),Cash only,6
Pizzaria Pôr Do Sol,Sesimbra Centro,3.7,40,25 € for two people (approx.),Cash and Cards accepted,25
Tuz Good Food,Arroios,3.4,5,25 € for two people (approx.),Cash and Cards accepted,25
Quentifrio,Mem Martins,3.5,21,25 € for two people (approx.),Cash and Debit Cards accepted,25
Sacola,Ponte do Rol,-,0,14 € for two people (approx.),Cash only,14
Refúgio D. Dinis,Odivelas Centro,3.0,3,6 € for two people (approx.),Cash only,6
Bar 106,Príncipe Real,3.5,10,15 € for two people (approx.) with alcohol,Cash only,15
Sabores do Rato,Rato,3.9,69,30 € for two people (approx.),Cash and Debit Cards accepted,30
Floresta de Algés,Algés,3.7,51,30 € for two people (approx.),"Cash, Debit Cards and Meal Coupons accepted",30
Carlsberg Bar,Moita Centro,3.3,5,10 € for two people (approx.) with alcohol,Cash only,10
Cozinha Nova,Mina,2.9,5,30 € for two people (approx.),Cash only,30
Arte do Pão,Prior Velho,-,1,6 € for two people (approx.),Cash only,6
Ficaqui,Alta de Lisboa,3.2,0,6 € for two people (approx.),Cash only,6
Bistek - Restaurante Lancheteria,Parque das Nações,2.8,59,20 € for two people (approx.),Cash and Debit Cards accepted,20
Monte's Bistro,Estoril,3.1,10,35 € for two people (approx.),Cash and Cards accepted,35
O David,Benfica,3.4,8,8 € for two people (approx.),Cash only,8
ALAN'S Café,Benfica,-,0,12 € for two people (approx.),Cash only,12
Lisbonne Café,Lumiar,2.8,13,12 € for two people (approx.),Cash only,12
A Nossa Padaria,Mina,-,0,6 € for two people (approx.),Cash only,6
A Capuchinha,Amora,3.6,14,20 € for two people (approx.),Cash and Debit Cards accepted,20
Roulote de Frielas,Santo António dos Cavaleiros,-,3,8 € for two people (approx.),Cash only,8
Espeto Real,Vila Franca de Xira Centro,-,1,20 € for two people (approx.),Cash and Debit Cards accepted,20
O Caçador,Beato,3.7,31,25 € for two people (approx.),Cash and Debit Cards accepted,25
Garden Caffé,Parede,2.7,83,8 € for two people (approx.),Cash only,8
O Forno,Mem Martins,3.3,4,6 € for two people (approx.),Cash only,6
Apple House,Campo Pequeno,3.6,200,20 € for two people (approx.),Cash and Debit Cards accepted,20
Smart Coffee,São Domingos de Rana,2.9,1,5 € for two people (approx.),Cash only,5
Snack Bar A Gatinha,Mina,-,1,8 € for two people (approx.),Cash only,8
Tragoátua Tapas Bar,Moita Centro,3.6,14,20 € for two people (approx.) with alcohol,Cash only,20
O Cantinho da Saudade,Cais do Sodré,3.7,15,14 € for two people (approx.) with alcohol,Cash only,14
Rei dos Frangos,Odivelas Centro,3.7,25,20 € for two people (approx.),Cash and Cards accepted,20
Hawaii,Alcântara,2.9,24,30 € for two people (approx.) with alcohol,Cash and Cards accepted,30
Pizzaria Mia,Costa da Caparica,3.2,12,20 € for two people (approx.),Cash and Cards accepted,20
APetisqueira,Barreiro Centro,3.9,93,30 € for two people (approx.),Cash and Cards accepted,30
Riviera I,Almada Centro,-,0,10 € for two people (approx.),Cash only,10
O Faroleiro,Guincho,4.3,235,100 € for two people (approx.),Cash and Cards accepted,100
Sabor Caseiro NC,Arroios,-,2,12 € for two people (approx.),Cash only,12
3Gomes,Colares,3.8,23,40 € for two people (approx.),Cash and Debit Cards accepted,40
A Beirense,Rossio,3.0,2,10 € for two people (approx.),Cash only,10
Dom Basilo,Mouraria,3.2,0,15 € for two people (approx.),Cash only,15
Roulotte 100 Stress,Fernão Ferro,3.5,11,14 € for two people (approx.),Cash only,14
A Janelinha,Santo Antão do Tojal,-,2,6 € for two people (approx.),Cash only,6
O Poleiro,Camarate,3.2,0,20 € for two people (approx.),Cash only,20
Rei da Capoeira,Carnaxide,3.7,27,15 € for two people (approx.),Cash and Debit Cards accepted,15
Lince Vermelho,Benfica,3.5,8,20 € for two people (approx.),Cash and Debit Cards accepted,20
Sabe Bem,Torre da Marinha,-,0,8 € for two people (approx.),Cash only,8
Franguinhos da Vila,Oeiras e São Julião da Barra,3.8,40,22 € for two people (approx.),Cash and Debit Cards accepted,22
Faisão Azul,São Domingos de Benfica,3.5,20,20 € for two people (approx.),Cash and Debit Cards accepted,20
Vamos ao Algarve,Alfama,3.6,18,20 € for two people (approx.) with alcohol,Cash and Credit Cards accepted,20
Eiffel Pastelaria,Campo Pequeno,2.9,15,20 € for two people (approx.),Cash and Debit Cards accepted,20
Café Império,Cascais Centro,2.9,2,6 € for two people (approx.),Cash only,6
Les Sources,Rato,3.7,18,45 € for two people (approx.),Cash and Cards accepted,45
Lobby Bistro - Sheraton Lisboa,Saldanha,4.1,33,45 € for two people (approx.),Cash and Cards accepted,45
O Lagoeiro,Lagoa de Albufeira,3.7,35,55 € for two people (approx.),Cash and Cards accepted,55
Casa Das Bifanas,Montijo Centro,-,0,25 € for two people (approx.),Cash only,25
Cantinho da Ouressa,Mem Martins,3.0,1,6 € for two people (approx.),Cash only,6
Medrosa d' Alfama,Alfama,3.7,17,18 € for two people (approx.),Cash and Cards accepted,18
As Salgadeiras,Bairro Alto,4.0,62,80 € for two people (approx.),Cash and Cards accepted,80
Jam Club,Bairro Alto,3.5,11,12 € for two people (approx.) with alcohol,Cash only,12
A Brasinha,Pena,3.2,5,16 € for two people (approx.),Cash only,16
Amor aos Pedaços,Alcabideche,3.9,51,8 € for two people (approx.),Cash and Debit Cards accepted,8
Café O Estaminé,Alvalade,3.6,9,8 € for two people (approx.),Cash only,8
Restaurante Catavento,Estoril,3.9,39,20 € for two people (approx.),Cash and Cards accepted,20
Casa de Frangos de Tomar,Ramada,3.4,17,20 € for two people (approx.),Cash and Cards accepted,20
Pastelaria Vale do Silêncio,Olivais,-,2,12 € for two people (approx.),Cash only,12
Guarda-Mor,Madragoa,3.9,75,40 € for two people (approx.),Cash and Cards accepted,40
Obladi Oblada,Setubal Centro,4.0,82,16 € for two people (approx.) with alcohol,Cash and Debit Cards accepted,16
Grelha de Sabores,Marvila,3.5,12,20 € for two people (approx.),Cash and Debit Cards accepted,20
Mineiro,Odivelas Centro,3.6,149,20 € for two people (approx.),Cash and Cards accepted,20
A Tabernita,Graça,3.3,4,22 € for two people (approx.),Cash only,22
Café Andorinha,Santa Iria da Azóia,-,0,8 € for two people (approx.),Cash only,8
Novo Século,Telheiras,3.9,92,26 € for two people (approx.),Cash and Debit Cards accepted,26
Taberna Portuguesa,Bica,4.3,424,30 € for two people (approx.),Debit Cards accepted,30
Koa,Costa da Caparica,4.3,181,25 € for two people (approx.),Cash only,25
Cantinho dos Sabores - Quinta dos Machados,Azueira-Sobral da Abelheira,3.6,11,30 € for two people (approx.),Cash and Cards accepted,30
Restaurante O João,Azeitão,-,2,25 € for two people (approx.),Cash only,25
Snack-Bar Bril,Linda-a-Velha,-,3,8 € for two people (approx.),Cash and Debit Cards accepted,8
Trigo Latino,Alfama,3.9,61,55 € for two people (approx.),Cash and Debit Cards accepted,55
Café Calçada Bistro - Lucky Thunder,Graça,3.5,14,20 € for two people (approx.),Cash only,20
CM Restaurante,Algés,3.1,4,20 € for two people (approx.),Cash and Debit Cards accepted,20
Pastelaria Cosco,Campo Pequeno,3.6,26,20 € for two people (approx.),Cash and Cards accepted,20
Afonso dos Leitões,Belém,3.6,15,30 € for two people (approx.),Cash and Debit Cards accepted,30
Herdade do Bitoque,Oeiras e São Julião da Barra,3.9,35,20 € for two people (approx.),Cash and Debit Cards accepted,20
Kascata,Ramada,3.5,8,20 € for two people (approx.),Cash only,20
Bombar,Sintra Centro,2.7,29,10 € for two people (approx.) with alcohol,Cash and Cards accepted,10
Luscious Flavour,Torre da Marinha,3.1,4,12 € for two people (approx.),Cash only,12
Cardo,Marquês de Pombal,3.1,7,25 € for two people (approx.),Cash and Cards accepted,25
Bom Amigo,Ericeira,3.2,8,25 € for two people (approx.),Cash and Debit Cards accepted,25
Restaurante O Beirão,Abrunheira,-,1,25 € for two people (approx.),Cash and Debit Cards accepted,25
Supermercados Bilene Café,São Domingos de Benfica,3.1,3,6 € for two people (approx.),Cash and Debit Cards accepted,6
Café Central,Mem Martins,3.2,1,8 € for two people (approx.),Cash only,8
Estrela da Serra,Malveira da Serra,4.1,101,40 € for two people (approx.),Cash and Cards accepted,40
Atelier Al Forno,Seixal Centro,4.0,399,25 € for two people (approx.),Cash and Cards accepted,25
Tartine,Cais do Sodré,-,3,25 € for two people (approx.),Cash and Cards accepted,25
Supermercado Miósotis - Cafetaria,Praça de Espanha,3.7,28,10 € for two people (approx.),Cash and Cards accepted,10
O Tasco da Vila,Torres Vedras Centro,-,3,25 € for two people (approx.),Cash and Cards accepted,25
União Recreativa Brandoense,Brandoa,-,0,6 € for two people (approx.),Cash only,6
O Rebuçado,Loures Centro,3.7,29,6 € for two people (approx.),Cash and Debit Cards accepted,6
Cantinho Doce,Campolide,3.0,1,6 € for two people (approx.),Cash and Debit Cards accepted,6
Tavola Calda,Algés,4.1,580,26 € for two people (approx.),Cash and Cards accepted,26
Salero,Loures Centro,4.2,222,40 € for two people (approx.),Cash and Cards accepted,40
Churrasqueira da Tapada,Alcântara,3.6,11,12 € for two people (approx.),Cash only,12
Nove Ilhas,Póvoa de Santa Iria,3.8,97,40 € for two people (approx.),Cash and Cards accepted,40
Estúdio 198,Campo Pequeno,3.4,18,25 € for two people (approx.),Cash and Cards accepted,25
Fermenta,Alvalade,3.8,43,8 € for two people (approx.),Cash and Debit Cards accepted,8
Take Saudade With You,Belém,-,1,5 € for two people (approx.),Cash only,5
Sabor a Santos,Santos,2.4,146,18 € for two people (approx.),Cash only,18
O Petisca,Campolide,2.8,29,20 € for two people (approx.),Cash and Cards accepted,20
Hi! Wine,Cascais Centro,-,3,8 € for two people (approx.),Cash and Cards accepted,8
Café Carmo,Ramada,-,0,6 € for two people (approx.),Cash only,6
Quiosque Beta Reis,Arrábida,-,2,8 € for two people (approx.),Cash only,8
Adamastor - Olaias Park Hotel,Areeiro,3.3,6,25 € for two people (approx.) with alcohol,Cash and Cards accepted,25
D'Lanor Café e Pastelaria,Pontinha,3.7,15,10 € for two people (approx.),Cash only,10
Café Dia-a-Dia,Venteira,-,0,8 € for two people (approx.),Cash only,8
Pacato,Alcântara,2.6,17,20 € for two people (approx.),Cash and Cards accepted,20
Quiosque Balthazar by Confeitaria Nacional,Amoreiras,3.7,18,15 € for two people (approx.),Cash only,15
Sangue na Guelra,Setubal Centro,3.8,21,25 € for two people (approx.),Cash and Debit Cards accepted,25
Chains,Príncipe Real,-,0,12 € for two people (approx.) with alcohol,Cash only,12
Pastelaria Violeta,Pena,3.2,5,12 € for two people (approx.),Cash only,12
Pizzeria & Ristorante Apollo,São João das Lampas,3.6,11,30 € for two people (approx.),Cash only,30
Rosa Silva,Ajuda,3.2,2,8 € for two people (approx.),Cash only,8
Café Pérola do Bairro,Linda-a-Velha,-,1,8 € for two people (approx.),Cash only,8
Selfie,Cascais Centro,-,1,12 € for two people (approx.) with alcohol,Cash only,12
Revira Volta,Sé,3.8,50,25 € for two people (approx.),Cash and Cards accepted,25
O Sobreiro,Barcarena,-,3,6 € for two people (approx.),Cash only,6
Dom Petisco,Campo Pequeno,3.9,41,30 € for two people (approx.),Cash and Cards accepted,30
Da Wave,Costa da Caparica,3.8,64,25 € for two people (approx.),Cash and Cards accepted,25
O Tavares,Almada Centro,3.9,53,25 € for two people (approx.),Cash only,25
Alive Bar,Santos,3.0,15,14 € for two people (approx.) with alcohol,Cash and Debit Cards accepted,14
Senhor Pão,Silveira,-,0,8 € for two people (approx.),Cash only,8
Café Totoloto,Camarate,-,0,6 € for two people (approx.),Cash only,6
Café e Coco,Oeiras e São Julião da Barra,3.6,11,10 € for two people (approx.),Cash and Debit Cards accepted,10
Os Finórios,Algés,3.3,4,15 € for two people (approx.),Cash only,15
Rosmaninho Clube Carnaxide,Carnaxide,3.5,7,15 € for two people (approx.),Cash and Debit Cards accepted,15
Asaka,Torres Vedras Centro,2.8,11,18 € for two people (approx.),Cash and Debit Cards accepted,18
Casa de Chá - Made In Love,Setubal Centro,3.5,8,15 € for two people (approx.),Cash and Debit Cards accepted,15
A Lusitana,Algés,-,0,12 € for two people (approx.),Cash and Cards accepted,12
Churrasqueira Os Cunhados,Cacilhas,-,3,15 € for two people (approx.),Cash only,15
Flor de São Carlos,Mem Martins,-,0,6 € for two people (approx.),Cash only,6
Chique de São Bento,São Bento,3.2,2,10 € for two people (approx.),Cash only,10
100 Segredos - Amora,Amora,4.0,206,30 € for two people (approx.),Cash and Credit Cards accepted,30
Mar Jonel,Parede,3.0,0,6 € for two people (approx.),Cash only,6
O Casalinho,Oeiras e São Julião da Barra,3.9,38,25 € for two people (approx.),Cash and Cards accepted,25
Oliveiras,Arroios,3.8,31,20 € for two people (approx.),Cash only,20
O Papagaio,Venteira,-,2,8 € for two people (approx.),Cash only,8
Comicala,Algés,3.0,19,13 € for two people (approx.),Cash and Debit Cards accepted,13
Pastelaria Ferrari,Baixa,2.4,45,25 € for two people (approx.),Cash and Cards accepted,25
O Encanto dos Olivais,Olivais,2.8,6,15 € for two people (approx.),Cash only,15
Cathedral Sports Bar,Massamá,-,1,12 € for two people (approx.),Cash only,12
Retiro da Atalaia,Damaia,3.6,23,30 € for two people (approx.),Cash and Debit Cards accepted,30
Café Rally,Massamá,3.0,0,10 € for two people (approx.),Cash only,10
Musaxi,Telheiras,3.8,300,35 € for two people (approx.),Cash and Cards accepted,35
Quintal de Santo Amaro,São Bento,3.9,40,12 € for two people (approx.),Cash only,12
Pastelaria Central de Mem-Martins,Mem Martins,3.6,10,8 € for two people (approx.),Cash and Debit Cards accepted,8
O Banquete,Marquês de Pombal,3.4,7,15 € for two people (approx.),Cash and Debit Cards accepted,15
Os Minhotos,Campo de Ourique,3.5,13,20 € for two people (approx.),Cash only,20
Galeria Vinteoito Concept Store,Restelo,3.9,30,15 € for two people (approx.),Cash and Debit Cards accepted,15
O Bacano,Praça de Espanha,3.2,3,20 € for two people (approx.),Cash and Debit Cards accepted,20
A gama do Vasco,Marquês de Pombal,4.4,221,20 € for two people (approx.),Cash and Cards accepted,20
Café Picadilly,Paço de Arcos,3.3,6,10 € for two people (approx.),Cash only,10
Tasquinha Cantinho do Fado,Mouraria,-,3,40 € for two people (approx.),Cash and Debit Cards accepted,40
A Taberna do Mar,Graça,4.2,80,45 € for two people (approx.),Cash only,45
DeBru,Pena,3.6,13,10 € for two people (approx.) with alcohol,Cash and Cards accepted,10
Alegreto Bar,Odivelas Centro,-,0,8 € for two people (approx.),Cash only,8
Cafetaria Lino,Areeiro,3.1,4,12 € for two people (approx.),Cash only,12
La Vespina,Sesimbra Centro,3.6,30,23 € for two people (approx.),Cash and Cards accepted,23
O Viriato,São Domingos de Benfica,3.7,27,20 € for two people (approx.),Cash and Debit Cards accepted,20
Sport Café,Almada Centro,-,0,10 € for two people (approx.),Cash only,10
Taste of Punjab,Mouraria,3.7,28,16 € for two people (approx.),Cash and Debit Cards accepted,16
Bungo,Oeiras e São Julião da Barra,3.2,2,18 € for two people (approx.),Cash only,18
Quiosque do Velho,Casal de Cambra,-,0,6 € for two people (approx.),Cash only,6
Arcaz Velho by Lisboa Cheia de Graça,Santa Apolónia,3.8,54,30 € for two people (approx.),Cash and Debit Cards accepted,30
El Carpaccio,Baixa,3.6,12,30 € for two people (approx.),Cash and Cards accepted,30
A Seara da Serra II,Mem Martins,2.9,8,8 € for two people (approx.),Cash only,8
Tosta Al Metro,Sesimbra Centro,3.7,101,16 € for two people (approx.),Cash and Cards accepted,16
Colher de Pau,Abrunheira,3.8,36,15 € for two people (approx.),Cash and Debit Cards accepted,15
Flor dos Jerónimos,Belém,3.3,7,25 € for two people (approx.),Cash only,25
YggY,Bairro Alto,3.7,24,15 € for two people (approx.) with alcohol,Cash only,15
Pérola da Serra,Palmela Centro,3.9,58,30 € for two people (approx.),Cash and Cards accepted,30
Solar do Tomáz,Linda-a-Velha,3.9,33,20 € for two people (approx.),Cash only,20
Faz Filla,Parque das Nações,3.3,10,17 € for two people (approx.),Cash only,17
A Concha,Marvila,3.5,20,25 € for two people (approx.),Cash and Cards accepted,25
Taberna São João,São Domingos de Benfica,-,3,16 € for two people (approx.),Cash and Debit Cards accepted,16
Bar do Binho,Sintra Centro,-,2,25 € for two people (approx.) with alcohol,Cash and Cards accepted,25
Clube 39,Estoril,-,2,16 € for two people (approx.),Cash and Debit Cards accepted,16
Xitaca,Sintra Centro,-,3,12 € for two people (approx.),Cash and Cards accepted,12
Pastelaria Balcão do Almirante,Moscavide,-,1,6 € for two people (approx.),Cash only,6
Caracol Fino,Parque das Nações,3.4,7,6 € for two people (approx.),Cash and Debit Cards accepted,6
Atelier do Café,São João das Lampas,3.5,6,6 € for two people (approx.),Cash only,6
Entre Copos,Entrecampos,3.7,201,25 € for two people (approx.),Cash and Debit Cards accepted,25
O Lanche - Padaria da Vila,Algés,-,2,10 € for two people (approx.),Cash only,10
Sabores do Churrasco,Alcabideche,3.0,8,20 € for two people (approx.),Cash and Cards accepted,20
Piazza Parque,Costa da Caparica,3.2,6,25 € for two people (approx.),Cash and Cards accepted,25
Lugar ao Sul,Falagueira,4.3,139,30 € for two people (approx.),Cash and Cards accepted,30
Pastelaria Lino,Almada Centro,3.4,6,8 € for two people (approx.),Cash and Debit Cards accepted,8
Lopes e Carneiro,Cascais Centro,3.1,0,10 € for two people (approx.),Cash only,10
Churrasqueira Ponte do Rol,Ponte do Rol,-,1,18 € for two people (approx.),Cash and Debit Cards accepted,18
Oficina dos Sabores,Marvila,3.3,5,8 € for two people (approx.),Cash and Cards accepted,8
Atitude Café,Graça,-,3,8 € for two people (approx.),Cash only,8
Churrasco d’Avó,Malveira da Serra,-,2,25 € for two people (approx.),Cash only,25
Café Maravilha,São Brás,-,1,8 € for two people (approx.),Cash only,8
O Cantinho da Raquel,Pontinha,-,1,6 € for two people (approx.),Cash only,6
Marisca Petisca Snack Bar,Carcavelos,3.6,11,20 € for two people (approx.),Cash and Cards accepted,20
Ti Natércia,Alfama,3.8,64,35 € for two people (approx.),Cash only,35
Arizona Restaurante,Parque das Nações,2.9,11,20 € for two people (approx.),Cash and Cards accepted,20
Inevitável - Vila Galé Collection Palácio dos Arcos,Paço de Arcos,4.1,37,100 € for two people (approx.),Cash and Cards accepted,100
Dom Manolo,Cascais Centro,2.8,37,20 € for two people (approx.),Cash only,20
Restaurante Marco,Santos,4.2,"1,731",30 € for two people (approx.),Cash and Cards accepted,30
Sun Tan,São Bento,4.0,54,25 € for two people (approx.),Cash and Debit Cards accepted,25
Inforno & Sforno Pizzeria Italiana,Carcavelos,4.0,95,28 € for two people (approx.),Cash and Cards accepted,28
Idols & Legends Sports Cafe,Massamá,3.7,40,12 € for two people (approx.) with alcohol,Cash only,12
Pastelaria Londres,Cacém,3.1,3,8 € for two people (approx.),Cash only,8
Sol da Amoreira,Estoril,3.4,10,8 € for two people (approx.),Cash and Debit Cards accepted,8
Árvore Doce,Sesimbra Centro,-,0,8 € for two people (approx.),Cash and Debit Cards accepted,8
Churrasqueira Meia Encosta,Brandoa,-,1,15 € for two people (approx.),Cash only,15
A Antiguinha,Cascais Centro,3.2,1,30 € for two people (approx.),Cash only,30
A Janela da Voz do Operário,Graça,4.1,72,30 € for two people (approx.) with alcohol,Cash and Cards accepted,30
Volovan Pastelaria,São João do Estoril,3.4,5,12 € for two people (approx.),Cash only,12
Concórdia,Rio de Mouro,-,0,10 € for two people (approx.),Cash only,10
Ruivanense,São João,3.3,3,10 € for two people (approx.),Cash only,10
C.R.D. Ribeira Lages - Café,Porto Salvo,-,2,8 € for two people (approx.),Cash only,8
Al Parmigiano,Arroios,3.4,13,25 € for two people (approx.),Cash and Cards accepted,25
Estrela da Manhã,Almada Centro,-,0,12 € for two people (approx.),Cash only,12
Cantik Restaurante,Oeiras e São Julião da Barra,3.8,27,20 € for two people (approx.),Cash and Debit Cards accepted,20
Café Bulhão,Alvalade,-,2,6 € for two people (approx.),Cash only,6
Carvoaria Jacto,Anjos,4.6,"1,420",30 € for two people (approx.),Cash and Debit Cards accepted,30
Tapas & Co - Taberna Espanhola,Telheiras,2.5,150,40 € for two people (approx.),Cash and Cards accepted,40
Landeau,Alcântara,4.7,804,12 € for two people (approx.),Cash and Debit Cards accepted,12
O Bacalhau,Cascais Centro,3.5,12,20 € for two people (approx.),Cash and Cards accepted,20
Hamburg The Burger House,Parque das Nações,4.0,374,20 € for two people (approx.),Cash and Debit Cards accepted,20
Allfama Too,Alfama,3.6,31,20 € for two people (approx.),Cash and Cards accepted,20
Casa de Chá de Belém,Belém,2.6,36,20 € for two people (approx.),Cash and Debit Cards accepted,20
O Cafézeiro,Parede,3.4,5,12 € for two people (approx.),Cash only,12
Ginginha Ideal,Alcântara,2.9,2,7 € for two people (approx.),Cash only,7
Peixe no Largo,Setubal Centro,3.7,23,40 € for two people (approx.),Cash and Cards accepted,40
Corações com Coroa - Café,Belém,3.6,16,15 € for two people (approx.),Cash and Cards accepted,15
Café Rouge et Noir,Quinta do Conde,-,2,14 € for two people (approx.),Cash only,14
Katekero Café,Sesimbra Centro,-,0,8 € for two people (approx.),Cash only,8
Restaurante Resina,Alcântara,3.8,41,18 € for two people (approx.),Cash only,18
Bar Tchilar,Reboleira,-,2,12 € for two people (approx.) with alcohol,Cash only,12
Taverna Pan Pan,Odivelas Centro,3.1,4,10 € for two people (approx.),Cash only,10
