name,neighborhood,avg_rating,#_of_ratings,avg_cost,avg_cost_2,cash_cards?,variable,value
O Alladino,Brandoa,-,1,6 € for two people (approx.),6,Cash only,type1,Snack Bar
Arco de Paris,Areeiro,3.8,33,20 € for two people (approx.),20,Cash and Cards accepted,type1,Casual Dining
Mr. Chips,Cais do Sodré,3.3,5,8 € for two people (approx.),8,Cash only,type1,Kiosk
Pérola das Laranjeiras,São Domingos de Benfica,2.7,14,6 € for two people (approx.),6,Cash and Debit Cards accepted,type1,Quick Bites
O Sócio,Póvoa de Santo Adrião,3.7,20,25 € for two people (approx.),25,Cash and Debit Cards accepted,type1,Casual Dining
Tendinha do Bairro Azul,Praça de Espanha,3.5,24,15 € for two people (approx.),15,Cash and Cards accepted,type1,Casual Dining
Coq Dourado,Fernão Ferro,-,1,15 € for two people (approx.),15,Cash and Cards accepted,type1,Casual Dining
Izanagi,Alcântara,4.4,244,40 € for two people (approx.),40,Cash and Cards accepted,type1,Casual Dining
Klub Café,Mem Martins,-,1,15 € for two people (approx.),15,Cash only,type1,Snack Bar
Veg-e-tal,Almada Centro,4.1,104,16 € for two people (approx.),16,Cash and Cards accepted,type1,Casual Dining
Estado Líquido,Seixal Centro,3.4,6,15 € for two people (approx.) with alcohol,15,Cash only,type1,Bar
Espaço Alternativo,Birre,3.1,0,10 € for two people (approx.),10,Cash only,type1,Snack Bar
D. João II,Parque das Nações,2.7,12,15 € for two people (approx.),15,Cash and Cards accepted,type1,Pastry Shop
Conforto,Benfica,3.3,6,15 € for two people (approx.),15,Cash only,type1,Pastry Shop
O Poço Novo,São João das Lampas,3.7,16,30 € for two people (approx.),30,Cash only,type1,Casual Dining
Romy,Laranjeiro,3.2,7,20 € for two people (approx.),20,Cash only,type1,Casual Dining
Snack Bar Orquídea,São João,3.1,3,8 € for two people (approx.),8,Cash only,type1,Snack Bar
Damas,Marquês de Pombal,3.1,2,30 € for two people (approx.),30,Cash and Cards accepted,type1,Casual Dining
Amadoramel,Venteira,3.1,4,10 € for two people (approx.),10,Cash only,type1,Pastry Shop
Hotel Avenida Palace - Bar,Rossio,-,1,15 € for two people (approx.) with alcohol,15,Cash and Cards accepted,type1,Bar
Tasca da Praia,Costa da Caparica,3.7,15,15 € for two people (approx.) with alcohol,15,Cash only,type1,Bar
Brasil Caffé,Alvalade,-,2,6 € for two people (approx.),6,Cash and Debit Cards accepted,type1,Pastry Shop
The Rooftop Bar,Bica,3.4,6,20 € for two people (approx.) with alcohol,20,Cash and Cards accepted,type1,Bar
Pastelaria Rovidi,Venteira,-,1,8 € for two people (approx.),8,Cash only,type1,Café
Trobadores,Baixa,4.2,566,30 € for two people (approx.) with alcohol,30,Cash and Cards accepted,type1,Pub
Maria Pia - Seafood Lounge,Cascais Centro,4.1,89,45 € for two people (approx.),45,Cash and Cards accepted,type1,Casual Dining
Croissanteria da Praça,Vila Franca de Xira Centro,3.8,34,8 € for two people (approx.),8,Cash only,type1,Pastry Shop
Snack Bar Rute,Mouraria,3.1,2,4 € for two people (approx.),4,Cash only,type1,Snack Bar
Jamie's Italian,Príncipe Real,4.3,"1,774",40 € for two people (approx.),40,Cash and Cards accepted,type1,Casual Dining
Dragão Azul,Almada Centro,-,0,30 € for two people (approx.),30,Cash only,type1,Snack Bar
O Cardoso de Belas,Belas,3.1,3,20 € for two people (approx.),20,Cash only,type1,Casual Dining
Crave,Amoreiras,4.1,129,20 € for two people (approx.),20,Cash and Debit Cards accepted,type1,Casual Dining
Casa dos Caracóis,Odivelas Centro,3.6,93,10 € for two people (approx.),10,Cash and Debit Cards accepted,type1,Casual Dining
Sassarico,Camarate,3.2,0,20 € for two people (approx.),20,Cash and Debit Cards accepted,type1,Casual Dining
Paladares da Bairrada,Carcavelos,4.0,129,30 € for two people (approx.),30,Cash and Debit Cards accepted,type1,Casual Dining
O Cantinho De Telheiras,Telheiras,4.0,174,25 € for two people (approx.),25,Cash and Debit Cards accepted,type1,Casual Dining
O Sobreiro,Telheiras,-,3,16 € for two people (approx.),16,Cash only,type1,Snack Bar
Ba Maria,São Sebastião,3.3,8,15 € for two people (approx.),15,Cash and Debit Cards accepted,type1,Kiosk
A Lanterna,Olivais,-,0,20 € for two people (approx.),20,Cash and Debit Cards accepted,type1,Snack Bar
Solar Minhoto,Penha de França,3.6,27,20 € for two people (approx.),20,Cash and Cards accepted,type1,Casual Dining
Cantinho Da Ameixoeira,Alta de Lisboa,3.4,8,20 € for two people (approx.),20,Cash only,type1,Casual Dining
Flor do Tojal,Santo Antão do Tojal,-,2,12 € for two people (approx.),12,Cash only,type1,Quick Bites
Paullu's,Odivelas Centro,4.2,570,35 € for two people (approx.),35,Cash and Cards accepted,type1,Casual Dining
Oficina da Carne,Almada Centro,4.2,299,20 € for two people (approx.),20,Cash and Debit Cards accepted,type1,Food Court
Café Cinema,Montijo Centro,-,2,8 € for two people (approx.),8,Cash only,type1,Café
Salão de Chá - Aloma,Praça de Espanha,3.3,5,15 € for two people (approx.),15,Cash and Cards accepted,type1,Tea Room
Sardinheira,Marquês de Pombal,3.8,26,20 € for two people (approx.),20,Cash only,type1,Snack Bar
Casa do Leão,Castelo,3.7,45,80 € for two people (approx.),80,Cash and Cards accepted,type1,Fine Dining
Sal & Grelha,Almada Centro,-,2,35 € for two people (approx.),35,Cash and Debit Cards accepted,type1,Casual Dining
Li28OA Wine & Tapas,Castelo,3.5,11,30 € for two people (approx.),30,Cash and Debit Cards accepted,type1,Casual Dining
Ceviche & Poké Bowls,Amoreiras,4.0,186,20 € for two people (approx.),20,Cash and Cards accepted,type1,Food Court
Cunha Café,Alfama,3.3,5,8 € for two people (approx.),8,Cash only,type1,Snack Bar
Churrasqueira do Oeste,Santa Cruz,3.5,7,15 € for two people (approx.),15,Cash only,type1,Casual Dining
A Padeirinha da Damaia,Damaia,3.6,10,6 € for two people (approx.),6,Cash only,type1,Bakery
Dona Alfama,Alfama,2.8,67,15 € for two people (approx.),15,Cash only,type1,Casual Dining
Café Brasil,Reboleira,-,1,6 € for two people (approx.),6,Cash only,type1,Snack Bar
Kyoto II,Barreiro Centro,3.0,12,28 € for two people (approx.),28,Cash and Debit Cards accepted,type1,Casual Dining
Tasquinha Serrana,Bairro Alto,3.0,26,25 € for two people (approx.),25,Cash and Cards accepted,type1,Casual Dining
Chikens e Friends,Marquês de Pombal,2.6,15,30 € for two people (approx.),30,Cash and Cards accepted,type1,Casual Dining
O Rastilho,Barcarena,3.8,41,30 € for two people (approx.),30,Cash and Debit Cards accepted,type1,Casual Dining
Nata Fina,Mouraria,3.0,9,6 € for two people (approx.),6,Cash only,type1,Pastry Shop
Mix Café,Torres Vedras Centro,-,3,10 € for two people (approx.),10,Cash only,type1,Pastry Shop
El Rei D. Frango,Rossio,3.4,16,20 € for two people (approx.),20,Cash only,type1,Casual Dining
Retiro do Santos,São Domingos de Rana,3.6,35,25 € for two people (approx.),25,Cash and Debit Cards accepted,type1,Casual Dining
Fábrica das Trouxas da Malveira,Malveira,3.5,8,6 € for two people (approx.),6,Cash and Debit Cards accepted,type1,Pastry Shop
Salgui's,Carcavelos,3.1,2,6 € for two people (approx.),6,Cash only,type1,Snack Bar
O Javali,Mina,3.8,44,30 € for two people (approx.),30,Cash and Debit Cards accepted,type1,Casual Dining
Sabores do Bairro,Loures Centro,3.8,11,25 € for two people (approx.),25,Cash only,type1,Casual Dining
Sical,Linda-a-Velha,3.0,4,6 € for two people (approx.),6,Cash only,type1,Kiosk
